clases;Varianza_aX;Varianza_aY;Varianza_aZ;Varianza_gX;Varianza_gY;Varianza_gZ;Suelo
245;9390480643;0.00605784;2454301119;450069887.3;8809702627;355365263.1;0
246;0.20778856;0.04745361;306621496;379693500.8;8259377435;618505663;0
247;0.15518984;0.03776565;4774115151;2472930934;43403731504;2250422837;0
248;2471827813;0.01114404;2907639472;321519256.4;11940056063;2324288604;0
249;9861104582;0.11415156;3445033916;1409684148;2450497732;2694828916;0
250;0.12855136;0.0499074;2813608513;1391155835;26213920811;1422123816;0
251;3200868507;0.01195585;0.01492404;1003141019;16965449510;1045954920;0
252;2952184726;0.05656749;0.14597781;973162352.8;2607381065;1965116938;0
253;0.16477321;0.01573845;2619751448;509448456.6;27817669007;518228068.2;0
254;1776049852;0.00882104;2211508394;876150972.1;18194657696;2241753739;0
255;1918670135;0.09597624;2930853256;860767586.4;4526928538;1996405751;0
256;0.24828001;0.05029424;2793246085;1792088016;17615137892;1334538846;0
257;3113589083;0.00787784;0.01204061;1150813401;15001227819;3707888282;0
258;9474899386;0.09596089;1782216744;1354415081;4247710891;3167715422;0
259;1077260016;0.05131496;0.40415805;2409970484;15384010203;1419374787;0
260;3176332775;0.00256645;0.01144684;1630676560;14437666113;3796601129;0
261;2769175392;0.14278136;9728911342;1714758723;5499097888;3874945048;0
262;1918453614;0.07915169;3352746947;959003084.2;8256710794;2799251910;0
263;3117296133;0.00974181;0.02875509;2397424964;9085808753;4548157092;0
264;374245002;1070538006;9580026369;1374383021;6551043403;5112217830;0
265;1283197853;0.06192364;1020621655;3530456841;15664498714;2663146409;0
266;3505857087;0.00373001;0.02283205;800771190.8;8311730943;3721304313;0
267;3739621153;0.10275501;2008503978;1933479872;6704034361;4540780902;0
268;3245830448;0.06326229;1029759284;1177970973;9207610356;1629603230;0
269;3612038246;0.00555144;0.02145621;2762823565;10469277525;6021173460;0
270;2438513815;0.15217489;2556475668;2268090146;7672605623;6087928011;0
271;3495221464;0.09049276;1985928058;3533984876;8301015347;4590572353;0
272;3653582025;0.0049294;0.02705744;1445175284;12991138552;4326915980;0
273;111333714;0.04127885;9810143035;3529688640;23441874960;3622455373;0
274;3575183558;0.07653349;1096147171;2261652423;6340927703;2075609599;0
275;3783530413;0.00979716;0.02014825;1581183477;10888941101;2954881395;0
276;2401078941;0.05087625;0.43663381;2596020213;15152262964;3050646628;0
277;3731606423;0.05346016;9916491163;1443269490;10533783473;1037523937;0
278;3892943103;0.0156202;0.02042324;2629349269;13636177535;4062033864;0
279;1226092058;0.06785689;111132.52;3194926353;15267946699;3264413688;0
280;1898146076;0.04656329;2458274787;1627559892;7006892310;1265176289;0
281;3438000543;0.00391169;0.00659969;2269675263;19770673387;4755605453;0
282;1771850387;0.06583756;1683063691;3382077793;13710560579;5055664179;0
283;1208687912;0.05554916;1836945747;2846089246;8620563606;2017899518;0
284;4077410191;0.00889676;0.00645116;3800487170;14691418078;4452038243;0
285;3761126893;0.09183929;0.45710609;2745150115;9812597342;4126322421;0
286;4483534497;0.06418829;1448881274;3314397679;15937744480;3512752734;0
287;4191937709;0.01019044;0.01529396;3513052998;9025636444;5538949463;0
288;2936006256;0.08585004;0.4562656;4269269378;19444697730;3625006158;0
289;0.28584516;0.09422184;2955455821;7739610413;15318295108;3019345548;0
